iIdx,jIdx,sim
27305,12434,0.019231
27305,7543,0.018868
27305,5642,0.018779
27305,9925,0.018519
27305,1992,0.017857
27305,12851,0.017544
27305,13242,0.016575
27305,5831,0.013953
27305,15182,0.013889
27305,14631,0.013699
27305,5605,0.012987
19509,20320,0.076190
19509,23481,0.074074
19509,13272,0.072165
19509,22651,0.069444
19509,1927,0.064171
19509,2042,0.064103
19509,6899,0.061728
19509,6831,0.061644
19509,15318,0.059406
19509,25173,0.058824
19509,6842,0.058333
19509,30969,0.057971
19509,19014,0.057143
19509,24857,0.056818
19509,6837,0.056338
19509,27431,0.056338
19509,29212,0.055556
19509,12989,0.054945
19509,6887,0.054795
19509,15034,0.054688
18277,21359,0.250000
18277,11426,0.204545
18277,20893,0.179487
18277,27014,0.170732
18277,15848,0.163265
18277,30784,0.117647
18277,20933,0.115942
18277,18031,0.107143
18277,18651,0.104167
18277,22385,0.103448
18277,27051,0.103448
18277,18035,0.102273
18277,9688,0.101266
18277,30169,0.100000
18277,15459,0.093750
18277,22505,0.093750
18277,25253,0.093750
18277,26547,0.090909
18277,22197,0.090909
18277,15865,0.090909
18268,7942,0.080000
18268,20369,0.075472
18268,14968,0.075000
18268,25008,0.066667
18268,17397,0.065934
18268,30539,0.065217
18268,22104,0.064935
18268,9080,0.064516
18268,21374,0.062500
18268,19877,0.062500
18268,21719,0.061538
18268,23398,0.060606
18268,21239,0.060000
18268,29187,0.060000
18268,14999,0.058824
18268,26861,0.058824
18268,21372,0.057971
18268,18055,0.057471
18268,14106,0.056604
18268,17273,0.056338
8053,8094,0.213333
8053,8501,0.200000
8053,8708,0.196970
8053,8362,0.193548
8053,8634,0.181818
8053,8410,0.181818
8053,8681,0.181818
8053,8554,0.180328
8053,8673,0.180328
8053,8731,0.177419
8053,8466,0.174757
8053,8709,0.169492
8053,8691,0.169492
8053,8631,0.169492
8053,8576,0.169492
8053,8532,0.169492
8053,8730,0.169492
8053,8669,0.169231
8053,8496,0.164706
8053,8719,0.163934
7223,6739,0.159875
7223,7257,0.159036
7223,7237,0.156934
7223,10275,0.124700
7223,14972,0.123656
7223,14762,0.120996
7223,7219,0.117479
